empresa_key,empresa_nome,ticker_yahoo,ticker_b3,moeda,setor,data_referencia,ano,mes,trimestre,periodo,preco_fechamento,volume_medio,market_cap_bi,pl_ratio,ev_ebitda,cambio_brl_usd,choque_periodo
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-10-01,2019,10,4,2019-Q4,14.713888168334961,696551000.0,83.997,9.2252245,,4.0041,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-11-01,2019,11,4,2019-Q4,14.609986305236816,434729200.0,83.404,9.2252245,,4.224,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2019-12-01,2019,12,4,2019-Q4,16.26901626586914,425830200.0,92.875,9.2252245,,4.0307,Periodo_Normal
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2020-01-01,2020,1,1,2020-Q1,15.005989074707031,573014400.0,85.665,9.2252245,,4.2695,Pandemia_2020
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2020-02-01,2020,2,1,2020-Q1,14.486620903015137,495651400.0,82.7,9.2252245,,4.4987,Pandemia_2020
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2020-03-01,2020,3,1,2020-Q1,8.699678421020508,1161162200.0,49.664,9.2252245,,5.1987,Pandemia_2020
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2020-04-01,2020,4,2,2020-Q2,8.934743881225586,968703000.0,51.006,9.2252245,,5.427,Pandemia_2020
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2020-05-01,2020,5,2,2020-Q2,9.668333053588867,939235600.0,55.194,9.2252245,,5.4263,Pandemia_2020
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2020-06-01,2020,6,2,2020-Q2,10.079018592834473,964981200.0,57.538,9.2252245,,5.476,Pandemia_2020
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2020-07-01,2020,7,3,2020-Q3,10.527322769165039,757910800.0,60.097,9.2252245,,5.2033,Pandemia_2020
BANCODOBRASIL,Banco do Brasil S.A.,BBAS3.SA,BBAS3,BRL,Financeiro,2020-08-01,2020,8,3,2020-Q3,10.235769271850586,668108200.0,58.433,9.2252245,,5.4713,Pandemia_2020
